timestamp,hour,day_of_week,region,weather,demand,inventory,competitor_price,actual_price
2024-01-01 00:00:00,0,0,TX,Cloudy,6,41,26.14,26.06
2024-01-01 01:00:00,1,0,NY,Rainy,3,49,26.19,26.93
2024-01-01 02:00:00,2,0,TX,Rainy,7,45,23.84,25.38
2024-01-01 03:00:00,3,0,TX,Sunny,7,43,27.19,27.97
2024-01-01 04:00:00,4,0,NY,Rainy,4,41,29.86,32.6
2024-01-01 05:00:00,5,0,NY,Rainy,6,46,32.07,33.55
2024-01-01 06:00:00,6,0,TX,Cloudy,5,44,26.01,25.77
2024-01-01 07:00:00,7,0,CA,Rainy,28,25,27.1,33.97
2024-01-01 08:00:00,8,0,TX,Cloudy,26,27,25.79,30.74
2024-01-01 09:00:00,9,0,TX,Rainy,30,16,26.63,33.36
2024-01-01 10:00:00,10,0,TX,Rainy,7,43,24.46,25.69
2024-01-01 11:00:00,11,0,TX,Rainy,10,38,23.95,25.29
2024-01-01 12:00:00,12,0,NY,Sunny,5,46,28.43,28.44
2024-01-01 13:00:00,13,0,TX,Cloudy,6,44,26.29,27.11
2024-01-01 14:00:00,14,0,CA,Sunny,5,46,29.35,29.7
2024-01-01 15:00:00,15,0,NY,Rainy,4,45,28.7,30.74
2024-01-01 16:00:00,16,0,CA,Sunny,5,48,26.13,26.06
2024-01-01 17:00:00,17,0,CA,Cloudy,31,14,27.11,34.19
2024-01-01 18:00:00,18,0,CA,Rainy,28,23,27.63,33.53
2024-01-01 19:00:00,19,0,CA,Sunny,30,23,29.06,34.16
2024-01-01 20:00:00,20,0,NY,Sunny,3,49,32.38,31.52
2024-01-01 21:00:00,21,0,NY,Cloudy,2,43,28.98,29.3
2024-01-01 22:00:00,22,0,CA,Sunny,6,46,30.48,30.82
2024-01-01 23:00:00,23,0,CA,Cloudy,5,42,26.36,26.49
2024-01-02 00:00:00,0,1,NY,Rainy,5,49,30.96,32.24
2024-01-02 01:00:00,1,1,NY,Rainy,7,43,31.88,34.13
2024-01-02 02:00:00,2,1,NY,Sunny,7,46,28.48,28.0
2024-01-02 03:00:00,3,1,TX,Rainy,8,43,23.34,24.84
2024-01-02 04:00:00,4,1,TX,Rainy,3,46,25.29,27.28
2024-01-02 05:00:00,5,1,TX,Sunny,9,43,26.64,27.43
2024-01-02 06:00:00,6,1,CA,Rainy,5,47,27.73,30.33
2024-01-02 07:00:00,7,1,TX,Sunny,26,24,26.31,30.46
2024-01-02 08:00:00,8,1,CA,Cloudy,22,28,29.01,34.05
2024-01-02 09:00:00,9,1,CA,Cloudy,28,25,25.8,30.63
2024-01-02 10:00:00,10,1,TX,Cloudy,4,44,25.01,25.81
2024-01-02 11:00:00,11,1,CA,Sunny,3,44,29.5,29.79
2024-01-02 12:00:00,12,1,TX,Sunny,7,45,23.63,23.19
2024-01-02 13:00:00,13,1,TX,Rainy,8,45,23.91,25.45
2024-01-02 14:00:00,14,1,NY,Rainy,10,38,31.72,34.61
2024-01-02 15:00:00,15,1,TX,Rainy,4,42,24.75,26.43
2024-01-02 16:00:00,16,1,NY,Rainy,4,46,30.66,32.05
2024-01-02 17:00:00,17,1,TX,Rainy,28,25,22.37,27.64
2024-01-02 18:00:00,18,1,TX,Sunny,31,15,25.81,30.24
2024-01-02 19:00:00,19,1,NY,Sunny,35,18,28.91,34.99
2024-01-02 20:00:00,20,1,NY,Cloudy,7,42,27.64,27.32
2024-01-02 21:00:00,21,1,TX,Cloudy,3,45,24.63,24.62
2024-01-02 22:00:00,22,1,CA,Cloudy,8,44,29.23,29.74
2024-01-02 23:00:00,23,1,NY,Cloudy,4,42,31.38,31.68
2024-01-03 00:00:00,0,2,CA,Sunny,6,45,27.91,28.47
2024-01-03 01:00:00,1,2,CA,Sunny,7,47,27.26,27.16
2024-01-03 02:00:00,2,2,CA,Sunny,1,50,25.74,25.07
2024-01-03 03:00:00,3,2,NY,Rainy,4,41,30.86,32.31
2024-01-03 04:00:00,4,2,CA,Rainy,9,45,27.85,29.38
2024-01-03 05:00:00,5,2,NY,Cloudy,5,47,29.69,30.54
2024-01-03 06:00:00,6,2,CA,Rainy,2,43,27.43,28.59
2024-01-03 07:00:00,7,2,TX,Sunny,28,25,26.29,30.95
2024-01-03 08:00:00,8,2,TX,Cloudy,24,22,26.03,30.89
2024-01-03 09:00:00,9,2,NY,Cloudy,29,25,31.46,37.11
2024-01-03 10:00:00,10,2,TX,Rainy,4,47,26.07,27.96
2024-01-03 11:00:00,11,2,TX,Cloudy,4,45,24.42,26.18
2024-01-03 12:00:00,12,2,CA,Rainy,5,44,27.22,28.75
2024-01-03 13:00:00,13,2,NY,Rainy,5,44,29.78,30.49
2024-01-03 14:00:00,14,2,CA,Cloudy,3,50,27.87,28.45
2024-01-03 15:00:00,15,2,CA,Rainy,8,46,29.15,31.62
2024-01-03 16:00:00,16,2,CA,Rainy,5,41,27.91,29.28
2024-01-03 17:00:00,17,2,CA,Rainy,29,24,27.81,34.04
2024-01-03 18:00:00,18,2,CA,Rainy,30,21,28.56,34.52
2024-01-03 19:00:00,19,2,CA,Cloudy,29,18,28.68,34.88
2024-01-03 20:00:00,20,2,CA,Sunny,6,41,26.87,26.62
2024-01-03 21:00:00,21,2,NY,Sunny,3,43,29.39,30.05
2024-01-03 22:00:00,22,2,TX,Rainy,5,49,23.58,24.54
2024-01-03 23:00:00,23,2,CA,Rainy,8,41,27.05,27.84
2024-01-04 00:00:00,0,3,CA,Rainy,7,40,29.73,31.64
2024-01-04 01:00:00,1,3,CA,Sunny,4,42,29.09,28.98
2024-01-04 02:00:00,2,3,CA,Rainy,7,41,28.93,29.92
2024-01-04 03:00:00,3,3,CA,Cloudy,5,48,29.12,30.27
2024-01-04 04:00:00,4,3,CA,Cloudy,4,41,24.3,24.78
2024-01-04 05:00:00,5,3,TX,Cloudy,3,50,24.67,25.78
2024-01-04 06:00:00,6,3,TX,Sunny,6,45,25.26,25.16
2024-01-04 07:00:00,7,3,CA,Rainy,22,24,26.67,31.99
2024-01-04 08:00:00,8,3,TX,Rainy,25,21,22.62,27.86
2024-01-04 09:00:00,9,3,NY,Rainy,25,24,29.56,36.15
2024-01-04 10:00:00,10,3,CA,Sunny,4,43,28.95,28.57
2024-01-04 11:00:00,11,3,NY,Sunny,8,37,31.36,31.65
2024-01-04 12:00:00,12,3,NY,Sunny,2,50,27.96,29.38
2024-01-04 13:00:00,13,3,CA,Sunny,6,43,28.46,29.53
2024-01-04 14:00:00,14,3,TX,Cloudy,4,45,22.94,23.72
2024-01-04 15:00:00,15,3,NY,Sunny,6,44,30.49,31.82
